Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.



	“Shirone, đây là tình hình khẩn cấp của quốc gia. Có người muốn gặp cô. Hãy cùng tôi đến thủ đô.”



	Shirone tỏ vẻ mặt vô hồn.



	Thật kỳ lạ khi nói rằng đó là tình trạng khẩn cấp quốc gia, nhưng cũng thật kỳ lạ khi thấy mình, một sinh viên, lại rơi vào tình huống như vậy.



	“Ai muốn gặp tôi?”



	Khang Nam nói một cách thản nhiên.



	“Mikea Gaold, Chủ tịch Hiệp hội Ma thuật Tormia.”



	“Vâng? Mikea Goald?”



	Tim Shirone đập nhanh hơn. Đó là cái tên mà anh nghe nhiều nhất ở những người anh chưa từng gặp trong đời.



	Không chỉ Sirone. Không một ai ở Vương quốc Tormia từng thử nghiệm phép thuật mà không biết Mikea Gaold.



	Dante hỏi với vẻ hứng thú.



	“Tại sao một người cấp cao như vậy lại tìm Sirone?”



	Shirone cũng tò mò. Nhưng trong một góc trái tim, cô có thể đoán được điều gì đó.



	“Có liên quan đến Nữ hoàng băng giá không?”



	“Đúng vậy. Nữ hoàng băng giá là một sinh mệnh đến từ thiên đường. Ngươi có hiểu được ý nghĩa của việc một sinh mệnh như vậy giáng lâm xuống thế giới này không?”



	Đôi mắt Shirone sáng lên. Điều đầu tiên hiện lên trong đầu cô khi nghe tin một sinh vật từ thiên đường đã giáng thế chính là cuộc chiến cuối cùng.



	“Thưa ngài, thật vậy sao?”



	“Đúng vậy. Một vết nứt đã xuất hiện trong không gian-thời gian của mê cung.”



	Nếu rào cản duy nhất ngăn cản đội quân của Thiên đường đã bị phá vỡ thì lời tuyên bố ban bố tình trạng khẩn cấp quốc gia của Khang Nam cũng dễ hiểu.



	Lilia lặng lẽ can thiệp.



	“Đợi đã. Mê cung không gian-thời gian này có phải ám chỉ đến rào cản của luật pháp được nhắc đến trong lời tiên tri không?”



	Kang Nan đang nhìn Lilia từ trên xuống dưới và hỏi.



	“Shindan?”



	“Đó là thời kỳ Archaean.”



	"Tôi hiểu rồi."



	Khang Nam gật đầu, tiếp tục giải thích.



	“Hiện tại, đó không phải là vấn đề nghiêm trọng. Nó chỉ là một vết nứt nhỏ và giờ đã được sửa chữa. Nhưng vết nứt luôn là khởi đầu của sự sụp đổ, vì vậy mọi thứ không thể tốt hơn hiện tại. Chúng ta phải chuẩn bị cho điều đó.”



	“Vậy thì, ngài Miro hiện tại……”



	Khang Nam giơ tay ngắt lời Shirone.



	“Đó là tất cả những gì tôi có thể nói với anh. Phần còn lại anh có thể nghe trực tiếp từ cấp trên của tôi, tác giả. Hãy cùng tôi đến thủ đô.”



	Shirone tỏ vẻ trầm ngâm với vẻ mặt nghiêm túc.



	=======================================





Số 344





	Những du khách lấy lại hình dạng con người sau khi luật được bãi bỏ đã vô cùng kinh hãi khi nhìn thấy cơ thể trần truồng của họ. Một cuộc bạo loạn nổ ra. Phụ nữ la hét và che cơ thể của họ, còn đàn ông thì hoảng loạn và tìm nơi ẩn náu. Shirone và nhóm của anh ta đã kêu gọi sự giúp đỡ từ những người bên ngoài bức tường, và hầu như không thể sơ tán mọi người đến một nhà trọ.



	Shirone ngồi trên lan can của sân hiên quán cà phê và nhìn những du khách chen chúc qua mỗi tòa nhà.



	Một số người đe dọa sẽ kiện cơ quan du lịch, trong khi những người khác thì la hét và yêu cầu đưa người quản lý vào cuộc.



	Họ cũng đã gặp được các sinh vật trên trời. Họ không thể dự đoán được những sự kiện ngày hôm nay sẽ gây ra những gợn sóng như thế nào.



	Shirone quay lại nhìn Kang Nan. Cô cũng đang nhìn khách du lịch, nhưng trong đầu cô lại nghĩ đến điều khác.



	“Bây giờ chúng ta phải làm gì? Chúng ta có thuyết phục được mọi người không?”



	“Có cần thiết không?”



	"Đúng?"



	“Chúng ta không cần phải lo lắng về những điều nhỏ nhặt. Hiệp hội sẽ đến. Họ sẽ lo liệu.”



	“Nhưng sẽ rất khó để sửa chữa theo thời gian. Nếu tin đồn lan truyền thì sao?”



	“Bạn có thể tuyên bố rằng huyền thoại Nữ hoàng băng giá là có thật. Cho dù bạn có tin hay không, bạn đang làm ô nhiễm thông tin. Nhưng không quan trọng nếu bạn nói sự thật. Ngay cả khi bạn biết, đó cũng không phải là điều mà người bình thường có thể làm được.”



	Khang Nam đã từng trải qua tình huống này nhiều lần. Dường như một sự hỗn loạn lớn sẽ xảy ra nếu thông tin về thiên đường được truyền ra thế giới, nhưng anh có thể chắc chắn rằng sẽ không có chuyện gì xảy ra.



	Mọi người vẫn lo lắng về việc hôm nay sẽ ăn gì, mất ngủ vì những hợp đồng quan trọng vào ngày mai và lo lắng về cách nuôi dạy con cái đang lớn nhanh.



	Kang Nan quay đầu nhìn nhóm Jokere, mặc dù không nhận được chỉ thị đặc biệt nào, nhưng vẫn đứng bên cạnh bọn họ, không rời đi.



	Họ cũng biết rằng đây là tình huống nằm ngoài tầm kiểm soát của họ.



	Nhưng với Khang Nam, đó chỉ là sự phiền toái.



	“Việc điều trị của anh cũng do hiệp hội quyết định. Cho nên đừng đi theo tôi nữa, cứ đi đi. Nếu anh muốn chạy trốn thì cứ chạy đi.”



	Phe Jockrey cúi đầu buồn bã.



	Tôi hiểu rõ ý nghĩa của việc có Hiệp hội Ma thuật là kẻ thù của bạn. Ngay cả khi bạn vào tù, miễn là bạn thuộc về Red Line, giấy phép pháp sư của bạn sẽ không bị thu hồi. Tuy nhiên, ngay khi bạn chạy trốn, sẽ không có nơi nào cho họ ngoài Black Line. Trong một thế giới của những kẻ bị ám ảnh bởi sự điên rồ, không có cách nào Jockles và nhóm của họ có thể sống sót.



	“Vâng. Tôi xin lỗi. Tôi sẽ tự thú khi các thành viên hiệp hội đến.”



	Amy lặng lẽ dõi theo nhóm Jockreys di chuyển xa dần. Cuộc sống mà cô có thể chia sẻ với họ chỉ đến đây thôi. Bất kể chuyện gì xảy ra, họ phải sống tiếp, và họ phải sống thật dữ dội để trở thành nhân vật chính trong cuộc sống của chính họ.



	Sau khi hoàn thành một số biện pháp tiếp theo, Khang Nam chuẩn bị rời đi, còn chưa kịp nói gì, cô đã nhìn chằm chằm vào Shirone.



	Khi tôi cởi bộ giáp kim cương ra, tôi mới phát hiện anh ấy trẻ hơn tôi nghĩ rất nhiều. Tất nhiên, tôi không ngốc đến mức đánh giá một người qua vẻ bề ngoài.



	Nhưng tôi nghĩ những đặc điểm này có thể gây đau đầu nếu bạn tham gia một hiệp hội.



	Đề xuất của Goald thật là cấp tiến.



	“Shirone. Chúng ta phải đi ngay bây giờ. Tôi sẽ đợi trong xe ngựa, vì vậy hãy nhanh chóng chuẩn bị và đi theo tôi.”



	“Vâng. Tôi sẽ đến đó sớm thôi.”



	Shirone định đi theo Kang Nan đến Hiệp hội Ma thuật. Việc cô có cơ hội hiếm hoi được gặp Gaold đóng vai trò quan trọng, nhưng cô cũng tò mò về tình hình ở Miro.



	'Nếu anh đến kinh đô, anh cũng có thể gặp Lian. Và cả Tess nữa.'



	Shirone tiến lại gần Amy với chiếc ba lô trên lưng.



	“Tôi xin lỗi vì mọi chuyện lại trở nên thế này.”



	Tôi không thể đối mặt với Amy. Lần này tôi muốn tận hưởng kỳ nghỉ của mình một cách trọn vẹn, nhưng cuối cùng tôi lại khiến cô ấy gặp nguy hiểm lần nữa.



	“Tôi có thể nói thẳng với anh là tôi sẽ không bao giờ đi du lịch với anh nữa.”



	“Ha ha! Thực xin lỗi, ta không biết nên nói cái gì.”



	Amy mỉm cười và lắc đầu.



	“Cảm ơn Shirone. Nhờ có em, anh đã có thêm tự tin. Bây giờ anh nghĩ mình có thể tiếp tục cố gắng.”



	Shirone cũng cảm thấy như vậy. Không chỉ kỹ năng chế ngự nhóm của Jokre là tuyệt vời, mà Inferno siêu nóng cũng là một loại phép thuật mà bất kỳ ai khác ngoài Amy ở cùng độ tuổi đều khó có thể thực hiện được.



	Tôi đã có một sự giác ngộ trong trận chiến, nhưng tôi không hỏi về nó. Nếu có một trăm người, thì sẽ có một trăm sự giác ngộ khác nhau, và phong cách của Amy là thứ không ai có thể bắt chước được. Sẽ đến một ngày chúng ta có thể nói chuyện và lắng nghe.



	“Tôi sẽ liên lạc với anh khi tôi trở về. Và Dante, cảm ơn anh đã hỏi thăm. Hãy chăm sóc Amy thật tốt nhé.”



	Dante nhún vai. Đột nhiên, anh ta đang hộ tống bạn gái của đối thủ, nhưng không phải tất cả đều tệ. Thiên đường và không gian-thời gian của mê cung, Shirone và Amy dường như đang đoán điều gì đó. Vì họ có nhiều thời gian trên đường đi, anh ta định hỏi về Thiên đường.



	“Tôi không biết chuyện gì đã xảy ra, nhưng chúc bạn đi đường bình an.”



	“Được rồi. Gặp lại ở trường nhé.”



	Khi Shirone rời đi, Dante và Amy cũng quay lại. Trên đường ra, Dante chỉ vào một quán cà phê và hỏi.



	“Một tách cà phê trước khi đi? Tất nhiên là bạn có thể mua.”



	“Anh định làm đến mức nào với thứ này? Anh mua đi! Anh có nhiều tiền lắm!”



	“Ồ, anh đang hộ tống tôi về nhà, vậy có lẽ tôi nên đi uống chút cà phê… nhỉ?”



	Dante cảm thấy có người tới, quay đầu lại. Giống như lần đầu tiên nhìn thấy cô, Lilia đang đứng đó, mang theo một chiếc ba lô lớn.



	Bây giờ Lawgiver đã bị phong ấn, cô phải quay lại Đền Archaean và báo cáo. Có lẽ sau hôm nay, cô sẽ không bao giờ gặp lại Dante nữa. Phù thủy và pháp sư đã đi theo những con đường khác nhau ngay từ đầu.



	Nhưng Lilia vẫn còn ngốc, nếu như không gặp Dante, khả năng lớn là nhiệm vụ này sẽ thất bại. Thật khó để tưởng tượng một pháp sư lang thang lại có thể có mối quan hệ với ai đó, nhưng vì cô đã dựa dẫm vào anh ta quá nhiều thứ, cô không thể dùng dao cắt đứt trái tim mình.



	“Tôi sẽ mua cà phê cho anh.”



	“Ừm.”



	Dante đọc được tình cảm hiện rõ trong mắt Lilia. Cô ấy thực sự là một người phụ nữ không thể che giấu cảm xúc của mình. Cô ấy không phải là kiểu người thích lãng mạn, nhưng cô ấy cũng không phải kiểu người sẽ chặn những người phụ nữ đến gần mình, vì vậy Dante nắm lấy vai cô ấy và chỉ vào một nơi nào đó.



	“Được rồi. Cà phê xong rồi. Chúng ta đi đâu đó yên tĩnh nhé?”



	Lilia đỏ mặt nhìn về nơi Dante chỉ, nơi đó có treo một tấm biển ghi "quán trọ".



	Là một người không biết gì về thế giới, Lilia không khỏi bị sốc trước phong cách yêu đương chớp nhoáng này.



	“V, vừa rồi…… anh…… đang…… nói…… gì…… vậy…….”



	“Ha ha! Không cần bỏ qua, ngươi đã đến cái tuổi này, cái gì cũng biết, đừng lãng phí thời gian.”



	Lilia rên rỉ. Tôi có thể chấp nhận tính cách ích kỷ của anh ta, nhưng tôi không thể chịu đựng được tính lăng nhăng của anh ta.



	"Anh đúng là đồ chơi! Thả tôi ra!"



	Khi Lilia đẩy anh ra, Dante ngoan ngoãn lùi lại.



	“Một gã lăng nhăng? Chúng ta đã làm gì để rồi ngoại tình?”



	“Được rồi! Ta đột nhiên mất trí rồi! Ta không cần thứ gì khác nữa, ta sẽ trở về đền!”



	Dante cười khúc khích. Nếu mối quan hệ của chúng tôi đã kết thúc ở đây, thì không có lý do gì để giữ cô ấy lại.



	“Được rồi. Cẩn thận nhé.”



	'Đứa trẻ vô tâm… … .'



	Khi Dante thực sự rời đi, Lilia cảm thấy buồn bã. Nhưng cô không bao giờ ngoảnh lại nhìn, dường như nếu cô quay đầu khỏi nơi này, thực sự sẽ không còn đường quay lại nữa.



	“Nếu có chuyện gì vui xảy ra, hãy viết thư cho tôi!”



	Nghe thấy giọng nói của Dante từ xa, Lilia chớp mắt rồi bật cười.



	Airhein Dante, 18 tuổi.



	Người thứ hai trong số những phù thủy đầy tham vọng ở Vương quốc Tormia.



	'Haha. Tôi sẽ nhớ điều đó.'



	Sau khi tiễn Lilia, người đang bước về phía chân trời với vẻ mặt tươi sáng, Dante và Amy quay trở lại lối ra.



	Khi tôi đang cố gắng rời khỏi địa điểm linh thiêng mà giờ đây trông thật nhàm chán, Jokre và đoàn của anh ấy đã đợi ở cổng bán vé.



	Đó là một khuôn mặt rất tự tin, dường như không thể che giấu hoàn toàn nỗi sợ hãi của mình, nhưng lại không muốn để lộ ra sự yếu đuối.



	Vivian tiến lại gần Amy.



	"Lấy làm tiếc."



	Amy vẫy tay. Đây không phải trò trẻ con. Cô thấy sự công bằng của tình hình khi họ bị bắt.



	“Không sao đâu, anh và em đều chiến đấu theo lý tưởng của mình, không cần phải xin lỗi chỉ vì chúng ta thua đâu.”



	“Không. Cuối cùng anh đã cứu em. Nếu lúc đó anh chết, sẽ không có lần sau.”



	“Đó là cái gì…….”



	Amy ngượng ngùng quay đầu, nói thật, không chỉ là vì Vivian, mà là vì giúp Okwangbak Yojin thành công, câu cuối cùng cô hét lên chính là muốn nói với chính mình.



	“Tôi không biết tại sao anh lại nói với tôi như vậy, nhưng hãy cố gắng lên. Nhất định phải trở thành một phù thủy trong kỳ thi tốt nghiệp tiếp theo. Anh hoàn toàn đủ tư cách để trở thành nhân vật chính.”



	Amy đau khổ. Cô biết điều đó thật tàn nhẫn, nhưng nghe những lời đó từ miệng một kẻ thua cuộc khiến cô tự tin hơn bất kỳ lời an ủi nào cô từng nghe.



	Vivian nhún vai và quay lại với bạn bè. Amy, người vẫn đang theo dõi lời nói của kẻ thua cuộc đáng thương, mở miệng.



	"Chào."



	Khi Vivian quay lại, Amy tháo một dây đeo vai của túi xách và tiến lại gần cô, lục lọi đồ đạc của cô.



	“Đây. Cầm lấy.”



	Amy cầm búp bê Nữ hoàng băng giá mà cô nhận được làm giải thưởng tại trung tâm trò chơi nhỏ. Vivian, người nhận nó với đôi tay run rẩy, nhìn chằm chằm vào Nữ hoàng băng giá một lúc lâu. Khuôn mặt của Nữ hoàng băng giá, người duy nhất ôm cô trong cuộc sống không ai chú ý, đang mỉm cười rạng rỡ như một đứa trẻ.



	“Thở dài. Nức nở.”



	Vivian ôm Nữ hoàng băng giá vào ngực, nước mắt chảy dài trên mặt. Jokre tiến đến vỗ nhẹ lưng cô. Anh nhìn Amy một lúc rồi bước đi, mang theo Vivian.



	Amy nhìn bọn họ rời đi rất lâu, bọn họ sẽ chiến đấu đến cuối đời, nếu như bọn họ làm như vậy, chẳng phải sẽ có một ngày bọn họ có thể trở thành nhân vật chính sao?



	'Ừ. Tôi chỉ thất bại một lần thôi. Nếu đây là cuộc sống của tôi, tôi sẽ chiến đấu và chiến thắng bất kể thế nào.'



	Amy nắm chặt tay và quay lại. Bước chân cô hướng về phía Dante nhẹ nhàng hơn ngày hôm qua.



	Sự siêu việt của Thiên Chúa (1)





	Trường dạy kiếm thuật Kaizen ở thủ phủ Baska.



	Kuan, một kiếm sĩ cấp 6 hiện tại và được biết đến với cái tên Pháp sư tử thần trước khi bị thương ở gân Achilles, đang phải vật lộn với những cơn ác mộng trong quá khứ mà anh không bao giờ có thể quay trở lại.



	Sinh ra trong một gia đình quân nhân, Kuan đã mất toàn bộ gia đình trên chiến trường khi anh mới sáu tuổi. Người chú đã nhận anh vào và nuôi dưỡng anh, nhưng ông đã tịch thu tài sản của anh và gửi anh đến một trường dạy kiếm thuật ở một vùng đất xa lạ.



	Nhưng ông không đổ lỗi cho bất kỳ ai.



	Anh không có nơi nào để đi, nhưng anh có đủ tài năng để trở thành công tố viên hạng 6 khi mới chỉ 20 tuổi.



	Cơn ác mộng bắt đầu bằng một sự việc xảy ra cách đây mười năm.



	Anh mới 21 tuổi khi được bổ nhiệm làm Đại đội trưởng số 2 của Tiểu đoàn Tìm kiếm để bắt Cointra, người sáng lập ra Giáo phái Bóng tối.



	Đơn vị không chào đón Kuan. Thật tự nhiên khi một tân binh 21 tuổi gia nhập một đơn vị kỳ cựu với độ tuổi trung bình là 38.



	Kuan cũng không quan tâm. Với một vị chỉ huy như anh, binh lính chẳng qua chỉ là những thứ có thể dùng để chiến thắng trong chiến tranh.



	Thậm chí không kịp chào hỏi binh lính, Kuan đã dẫn quân tiến vào Rừng Ma ngay sau khi nhậm chức.



	Cho đến nay, nhiều đội tìm kiếm đã được cử đi nhưng đều mất liên lạc.



	Kuan được triển khai khẩn cấp khi người chỉ huy đại đội trước, người rất sợ hãi, trở về quê nhà nghỉ ốm.



	Nhưng Kuan rất tự tin.



	Cho dù trong rừng thực sự có ma thì cũng không có thứ gì trên thế giới này mà thanh kiếm của anh không thể cắt đứt.



	'Bắt lấy tôi đi. Anh là ma đấy.'



	Ngày đầu tiên trôi qua mà không có sự cố gì xảy ra.



	Nhưng sự cố xảy ra khi Trung đội 2 vừa mới hoàn thành trại lính và đang bảo trì vào lúc rạng sáng.



	“Đột kích! Đây là một cuộc tấn công!”



	Tiếng la hét của lính gác im bặt. Nhận ra rằng họ đã đột phá, Kuan cầm kiếm và đi ra khỏi doanh trại.



	Các thành viên khác, mỗi người đều được trang bị vũ khí riêng, đang cảnh giác đề phòng kẻ thù lao vào từ bên ngoài vào lúc sáng sớm.



	Một cơn gió mạnh thổi qua. Không, không có gió nào cả. Nó chỉ vang lên trong tai mọi người. Kuan theo phản xạ cắt bóng tối, nhưng không có gì chạm vào mũi kiếm của anh ta.



	=======================================





Số 345





	“Chuẩn bị bốn phía!”



	40 người tạo thành một vòng tròn. Trong tình huống không thể xác định được kẻ thù, điều quan trọng nhất là không để bị đánh bại riêng lẻ.



	Cuối cùng Kuan cũng bắt được kẻ thù.



	Một tấm rèm đen bắt đầu đung đưa từ khoảng cách 20 mét, rồi những chiếc mặt nạ trắng lần lượt lộ ra, lật úp lại.



	"Gì?"



	Vào một thời điểm nào đó, những người đeo mặt nạ trông giống loài cú di chuyển vòng quanh như một xoáy nước rồi đứng dậy theo hình tam giác.



	Rẹt rẹt!



	Ba mươi người đồng thời rút kiếm, nhưng âm thanh đều giống nhau. Thấy bọn họ đều đứng ở cùng một tư thế, nhắm vào đường chéo, tôi nhớ lại thông tin về một nhóm người nào đó mà tôi đã nghe trong quá trình huấn luyện chỉ huy.



	"không đời nào……."



	Nhóm kiếm thuật mạnh nhất trên trái đất, Pungjang.



	'Tại sao chuông gió lại ở đây?'



	Các hiệp sĩ gió là vệ sĩ của Teraze, Nữ hoàng của Đế chế Kashan. Nếu những người như vậy xuất hiện, chỉ có một lý do. Cointra, thủ lĩnh của Giáo hội Bóng tối, đang được Teraze bảo vệ.



	“Kashan, anh đang làm gì thế?”



	“Khi bạn sang thế giới bên kia…….”



	Kỹ thuật giết người theo nhóm, vốn là kỹ năng độc quyền của Pungjang, đã được khai hỏa.



	“Bạn sẽ có thể tìm ra câu trả lời.”



	“Ghê quá!”



	Tiếng hét của các thành viên trung đội 2 vang lên. Ngay cả với Kuan, đó cũng là một ý định giết người đáng kinh ngạc. Cho dù họ có kỳ cựu đến đâu, thì đó cũng không phải là mức độ nhanh nhẹn mà một người lính bình thường có thể chống lại.



	“Chậc!”



	Khi Kuan đá xuống đất và lao tới, những cơn gió mạnh tản ra rồi lại tụ lại như gió. Hàng chục thanh kiếm tạo ra hàng ngàn hình ảnh dư ảnh, và cơ thể của Kuan di chuyển như thể nó phớt lờ trọng lực.



	'Chết tiệt. Có bao nhiêu điểm ngoại hấp dẫn?'



	Kỹ năng của các bậc thầy về gió thực sự đáng kinh ngạc. Họ là những người đã áp dụng động lực học chất lưu vào cơ thể con người. Tôi cảm thấy như mình đang mất phương hướng và đang chiến đấu với một thanh kiếm giữa không trọng lực.



	Nhưng người thực sự ngạc nhiên là Pungjang.



	'Mất nhiều thời gian quá. Tôi đã vung nó bao nhiêu lần?



	'Khoảng 23.000 lần.'



	Chỉ có một số ít người có thể chịu được kiếm thuật của Wind Jang hơn 1.000 lần. Điều này có nghĩa là anh ta có thể chém bất kỳ sinh vật nào trong vòng chưa đầy một giây.



	'Chúa thật là hư hỏng.'



	Nếu thế giới này hoàn hảo 100%, tất cả các sinh vật sống sẽ hạnh phúc như vi khuẩn. Tuy nhiên, thiên nhiên luôn tạo ra 0,1% đột biến. 0,1% sinh vật đó làm giảm 99,9% còn lại thành những sinh vật không đáng kể.



	'Sinh ra như một sản phẩm của sự tình cờ… …một sinh vật được lựa chọn đặc biệt.'



	Đó chính là cảm giác mà chuông gió dành cho Kuan.



	Kỹ thuật, sự tinh tế, sự cân bằng của cơ thể, khả năng điều khiển trọng lực và ý tưởng tạo ra những cung đường mới.



	'Người đàn ông này là một thiên tài.'



	Cùng lúc đó, chuông gió giống như đôi cánh, sau đó biến thành gió mạnh, giống như rắn, quấn quanh Quan Âm.



	'Giết một thiên tài.'



	Gió đen bao phủ toàn bộ không gian, tốc độ nhanh đến mức cảm giác như đang từ từ tiến lại gần.



	“Whoaaaa! Tấn công! Tấn công!”



	Lúc này, các thành viên trong tiểu đội xông vào, vừa tiến vào phạm vi phong trường, da thịt của bọn họ liền bị xé rách như một khối thịt bị máy móc kẹp chặt, Cơ Hoành gần như theo bản năng muốn thoát khỏi kiếm trận.



	'Thật điên rồ… … !'



	Người đàn ông lớn tuổi nhất trong công ty, Kobi, là người cuối cùng đi qua Kuan. Ông thậm chí còn không có thời gian để nói lời tạm biệt, nhưng đôi mắt tươi cười của ông đã nói lên hàng ngàn lời.



	'Sống tiếp đi, thuyền trưởng.'



	Khi chứng kiến quân lính của mình bị tiêu diệt chỉ trong chớp mắt, Kuan nhận ra lý do tại sao họ phải chết.



	'Tôi hiểu rồi. Ít nhất phải có một người ra ngoài.'



	Chúng ta cần báo cáo sự can thiệp của Kashan lên cấp trên, nếu không sẽ có thêm nhiều người tìm kiếm rơi vào bẫy gió.



	'Đây là điều tốt nhất. Nếu ai đó phải sống, thì tôi là người có cơ hội sống sót cao nhất.'



	Kuan, người đang di chuyển ra xa do lực hấp dẫn bên ngoài, thờ ơ nhìn cơn bão đen đang quét qua bóng tối. Những thành viên mà anh chưa từng biết đến trong một ngày, thậm chí là chưa từng nhìn thấy, đều đã qua đời.



	'Tại sao…….'



	Tôi cảm thấy có thứ gì đó nóng bên trong. Một ngọn lửa lớn đang cháy ở một nơi mà tôi nghĩ đã tắt và chỉ còn lại tro tàn.



	“Tại sao thế này! Cái quái gì thế này!”



	Khi Kuan bay đi, thoát khỏi lực hấp dẫn bên ngoài, những luồng gió từng tản ra như lông vũ giờ lại tụ lại thành hình tam giác cách đó 20 mét.



	“Các ngươi… đừng nghĩ tới việc sống sót trở về.”



	Chuông gió không trả lời. Tâm trí họ quay cuồng trong sự bối rối trước tình huống bất ngờ này.



	'Nhiệm vụ thất bại.'



	Không, nó gần như thất bại.



	Nếu Kuan quyết định chạy trốn, Phong Giang không cách nào bắt được hắn. Cuộc sống của 40 con người tầm thường đã tạo nên một tiền lệ không thể đảo ngược cho Phong Giang mạnh nhất trên trái đất.



	Khi chuông gió phía trước từ từ đưa tay tháo mặt nạ, lông mày của Quan Vũ nhíu lại, khuôn mặt của một người phụ nữ với đôi mắt hẹp dài lộ ra dưới đôi mí mắt dày và nhợt nhạt như thể không có lông mày.



	“Đây là lần đầu tiên một người còn sống nhìn thấy khuôn mặt của một chiếc chuông gió.”



	“Thì sao? Anh muốn em chạm vào anh sao?”



	“Hãy vào đường hầm gió. Chúng tôi sẽ dẫn đường cho bạn.”



	Đây là một đề xuất mang tính đột phá ngay cả đối với Kuan, người được cả thế giới công nhận. Trên hết, họ là cấp dưới trực tiếp của Teraze, Hoàng đế thứ ba. Nếu họ chấp nhận đề xuất, thì cũng giống như việc vươn lên vị trí cao nhất mà một công tố viên có thể đạt được.



	Cuối cùng Kuan cất kiếm đi và vác nó lên vai.



	“Tôi từ chối.”



	Người phụ nữ hơi nghiêng đầu. Trên đời này có công tố viên nào lại từ chối chuông gió chứ? Rõ ràng là cô ấy đã mất đi cảm giác thực tế vì cái chết của đồng nghiệp.



	“Thật đáng tiếc khi thuộc hạ của ngươi đã chết. Nhưng tương lai mới đang chờ đợi ngươi. Đừng chôn vùi tài năng của mình trong quá khứ.”



	Kuan hừ một tiếng, Phong Chương gia có cường đại đến đâu, cũng không thể có hai người là mạnh nhất thiên hạ.



	“Đừng hiểu lầm. Binh lính của ta chỉ đang thực hiện nhiệm vụ của mình như những người lính. Những kẻ ngu ngốc là những người chỉ huy không thể kiểm soát cảm xúc của mình.”



	“Vậy tại sao anh lại từ chối?”



	Kiếm của Kuan lại nhắm vào trán người phụ nữ.



	"Tôi đã thắc mắc một thời gian rồi, nhưng không phải là buồn cười sao? Làm sao anh có thể tự gọi mình là người mạnh nhất khi anh luôn chạy theo nhóm và giết người?"



	“……Là sự cố.”



	Ngay khi người phụ nữ đeo mặt nạ cú vào, ba mươi chiếc chuông gió bay như gió về phía Kuan.



	'Cứ đợi đi. Tôi sẽ mang theo ít nhất một người.'



	Nếu bạn không đáp ứng được kỳ vọng của cấp dưới và thậm chí không thể kiếm được bạn đồng hành trên đường sang thế giới bên kia, thì làm sao bạn có thể xuất hiện ở thế giới bên kia?



	Kuan rơi vào cơn bão của trường gió trong khi phân tán lực hấp dẫn bên ngoài theo mọi hướng. Các chuyển động do các bậc thầy trọng lực bên ngoài thực hiện gần với nghệ thuật hơn là chiến đấu.



	'Tôi hiểu rồi. Câu trả lời dễ đến ngạc nhiên.'



	Kuan nhảy qua tường, đây là cảnh giới mà hắn có thể vượt qua vì hắn không muốn sống, lần này ngay cả chuông gió cũng không nhịn được căng thẳng, rừng ma quỷ run rẩy trước tiếng của hàng chục thanh kiếm.



	'Thanh kiếm này, nó thực sự đẹp như vậy sao?'



	Khi cơn xuất thần kết thúc, kiếm của Kuan cắt ngang quỹ đạo, đầu của Feng Zhang bị xé toạc khỏi cơ thể, đồng thời, một trái tim khác ngừng đập khi vẫn còn bị lưỡi kiếm đâm vào.



	'Hai người. Đủ để trả tiền bữa ăn.'



	VẬY!



	Luồng gió thổi bùng lên như một cơn hỗn loạn khi nhận ra cái chết của một người đồng chí. Việc hai người cùng chết một lúc là một sự kiện cực kỳ hiếm hoi trong suốt lịch sử của cơn gió thổi.



	Kuan bình tĩnh quan sát cơn giận dữ của họ bùng phát dưới dạng sốt. Nhưng họ không giết Kuan. Thay vào đó, họ cắt đứt gót chân Achilles của anh như cắt miếng cá phi lê.



	“Ghê quá!”



