Số 92





	“Tên của bạn là Harvest.”



	“Thưa thầy! Em có một câu hỏi!”



	"nói đi."



	“Tiêu chuẩn đánh giá cho phong trào đấu tranh đường phố là gì!”



	“Tôi sẽ giải thích điều đó từ bây giờ.”



	Người học viên kia ngượng ngùng, kỳ thực hỏi như vậy là vì muốn tỏ ra tốt đẹp với Quan Vũ, nhưng Quan Vũ lại cho rằng ngay cả tôn kính cũng là biểu hiện của sự yếu đuối.



	“Phong trào chiến đấu trong thành phố. Thật khó chịu, nên tôi sẽ nói ngắn gọn và kết thúc.”



	Kuan bước vào tòa nhà, mặt tiền mở như nhà búp bê, nên không có vấn đề gì khi nghe giải thích.



	“Những nơi mà trọng lực bên ngoài tỏa sáng là địa hình phức tạp. Đặc biệt là trong chiến đấu đô thị, ngay cả không gian cũng hẹp, có thể nói rằng mức độ di chuyển quyết định kết quả.”



	Kuan dậm chân xuống sàn nhưng không cố gắng tận dụng trọng lực bên ngoài.



	“Lý do bạn đập xuống đất là để tạo ra sức mạnh và dịch chuyển trọng tâm của bạn. Đây được gọi là tác động đầu tiên. Tất nhiên, trong một trận đấu thực sự, không có thời gian để làm những điều điên rồ như vậy, nhưng các bạn, những người trẻ tuổi, chắc chắn nên đập xuống đất.”



	Mặc dù có sự pha trộn giữa khinh thường và chế giễu, nhưng những sinh viên ấn tượng trước sự không hành động của Kuan đã không còn tức giận nữa.



	“Nhưng tôi không đập xuống đất bằng cú va chạm đầu tiên. Nếu tôi dùng sức của mình để đập vào đây, sàn nhà sẽ bị vỡ tan. Trong sơ đồ, chuỗi trọng lực bên ngoài sử dụng nhiều cú va chạm đầu tiên khác nhau, và trong số đó, tôi sẽ sử dụng cú va chạm cơ bản, rung động cơ bắp.”



	Kuan co cơ thân trên để tạo ra rung động. Anh ta nhảy lên trong trạng thái đó và đặt tay lên tường. Anh ta điều chỉnh quán tính của mình bằng cách uốn cong khuỷu tay và tạo ra khoảnh khắc lơ lửng trên không trung kéo dài hơn ba giây.



	"Ồ."



	Các học viên thốt lên những tiếng cảm thán. Đây là tình huống mà, tất nhiên, 'Ngồi xuống!' phải được thốt ra, nhưng Kuan vẫn tiếp tục giải thích như thể anh ta đang khó chịu.



	“Bạn nhảy trong khi tạo ra lực hấp dẫn bên ngoài với cú va chạm đầu tiên. Tất nhiên, trong trường hợp này, lực hấp dẫn bên ngoài sẽ tác động theo hướng của bức tường. Nếu bạn áp dụng điều này, loại chuyển động này cũng có thể xảy ra.”



	Quan đi dọc theo tường, các học viên chậm rãi ngẩng đầu, nhìn thẳng lên trên, vẻ mặt không thể tin được. Quan đứng lộn ngược, hai chân chống vào trần nhà.



	“Trọng lực bên ngoài cuối cùng là sử dụng lực quán tính để bù trừ trọng lực. Do đó, trọng lực hiện không tác động lên cơ thể tôi.”



	Cảnh tượng Kuan đi ngang qua trần nhà thật là kỳ diệu, thật kỳ lạ. Nhưng đó không phải là phép thuật.



	Nếu như chạy dọc theo tường, ngay cả diễn viên xiếc không biết làm sơ đồ cũng có thể làm được. Tuy nhiên, Kuan chỉ tối đa hóa quán tính bằng lực mạnh hơn và chính xác hơn.



	Khi lực hấp dẫn bên ngoài biến mất, cơ thể của Kuan cũng theo lực hấp dẫn mà rơi xuống. Khi cuộc biểu tình kết thúc và họ ra khỏi tòa nhà, biểu cảm của các học viên đã thay đổi 180 độ.



	“Nằm sấp xuống. Hít đất 200 cái.”



	"luyện tập!"



	Các học viên ngã xuống đất với vẻ mặt như muốn nói "Ôi không!" Hầu hết các học viên chính quy đều có thể xử lý được sơ đồ, nên không phải là số lần không thể. Tuy nhiên, vì họ là học viên năm nhất, nên phạm vi tăng cường mà họ có thể sử dụng không lớn lắm, nên 200 lần là khá đau đầu.



	“Nghe này trong khi bạn làm điều này. Chướng ngại vật thực tế đầu tiên là một chướng ngại vật nằm ngang, và khi bạn đi lên các bậc thang, độ cao sẽ giảm dần. Bậc cuối cùng sẽ không thể vượt qua nếu không sử dụng trọng lực bên ngoài. Bạn có 20 giây. Chướng ngại vật được làm bằng kiếm thật, vì vậy nếu nghiêm trọng, nó có thể dẫn đến tử vong. Tất nhiên, tôi tin rằng không ai sẽ tránh được chướng ngại vật. Nếu bạn bị thương, bạn sẽ được Huấn luyện viên Kaina điều trị.”



	Kaina là bác sĩ phẫu thuật giỏi nhất trong trường kiếm thuật. Nếu các pháp sư có người chữa bệnh, thì các kiếm sĩ có bác sĩ phẫu thuật thực hiện các ca phẫu thuật. Vấn đề là cơn đau khi phẫu thuật cực kỳ nghiêm trọng. Đặc biệt, những người cụt chi thường ngất xỉu trong khi điều trị vì hệ thần kinh bị kết nối.



	'Chết tiệt! Nghe câu chuyện đó còn đáng sợ hơn nữa!'



	“Động tác chiến đấu đường phố rất đơn giản. Tạo ra lực hấp dẫn bên ngoài và dựa vào tường. Bạn trụ càng lâu, điểm của bạn càng cao. Hiểu chưa?”



	"Đúng!"



	Kuan, người đang quan sát biểu cảm của những học sinh có khuôn mặt đầy vẻ cay độc, cầm lấy bài đánh giá và chuyển sang chỗ ngồi khác.



	“Chúng ta bắt đầu từ số 1. Tôi sẽ không gọi tên các bạn, vì vậy hãy ra ngoài theo ý muốn của các bạn. Những người đang chờ đợi, hãy nghỉ ngơi.”



	Lian ngồi xuống, chống cằm lên tay. Mỗi người ít nhất phải mất ba phút, nên vẫn còn nhiều thời gian.



	“Thế nào, anh nghĩ anh có thể làm được không?”



	Đó là giọng nói của một người phụ nữ mà không phải ai cũng có thể nghe thấy trong trường kiếm thuật. Tuy nhiên, Lian lại quay đi như thể không có gì đặc biệt. Cô ấy là một người phụ nữ xinh đẹp với mái tóc vàng óng buông xuống như sóng, cô ấy cao và mảnh khảnh, tứ chi dài và thon thả, mang lại cảm giác sảng khoái.



	Elsa Tess là ai?



	Cô là con gái duy nhất của gia đình Elsa, một gia đình có danh tiếng cao trong vương quốc, và vào học trường kiếm thuật để tiếp quản công việc kinh doanh của cha mình với tư cách là một chỉ huy thuộc địa.



	Khuôn mặt của cô ấy nếu nhìn dễ thương thì dễ thương, nếu nhìn dữ dội thì dữ dội, nhưng tính cách của cô ấy dù nhìn thế nào cũng dữ dội. Cô ấy cũng nổi trội về kỹ năng, và không ai trong năm đầu tiên có thể theo kịp cô ấy. Cô ấy là một người tự nhiên, không khuất phục, ngay cả giữa nhiều người đàn ông cũng không hề sợ hãi.



	“Ngồi xuống nhanh lên, nếu bị giáo viên bắt được, ngươi sẽ bị xử tử.”



	“Wow, huấn luyện viên giỏi nhất thế giới, Lian Do, thật đáng sợ. Dù sao thì anh ấy cũng đang bận chấm điểm, đúng không?”



	“Anh biết gì không? Anh ta là anh chàng có đôi mắt ở phía sau. À, tại sao anh lại đột nhiên di chuyển?”



	“Làm bạn tốt nghĩa là gì? Tôi đến đây để giúp bạn thư giãn trong trường hợp bạn cảm thấy lo lắng.”



	“Anh đã bao giờ thấy em lo lắng chưa?”



	“Ha ha. Được rồi, không còn chỗ để ngã nữa, có gì phải lo lắng chứ? Đây là nơi cuối cùng thoải mái mà.”



	Có lẽ điều này không dễ chịu với một học viên ở trường kiếm thuật, nhưng Lian chỉ bĩu môi. Tess mỉm cười. Tính cách của cậu ấy, không dễ nổi giận, chắc chắn khác với những đứa trẻ khác.



	Tại sao anh chàng này luôn ở vị trí cuối cùng?



	Trong số những sinh viên năm nhất, người luyện tập chăm chỉ nhất chắc chắn là Liên. Không, anh ấy đang trải qua một chế độ luyện tập khắc nghiệt đến mức gần như có thể gọi là làm việc quá sức mỗi ngày.



	=======================================





Số 114





	Nhưng điểm số của tôi vẫn không tăng.



	Tôi nghe nói anh ấy đã nắm vững sơ đồ này cách đây một tháng, nhưng tốc độ củng cố quá chậm nên tôi nghi ngờ điều đó là đúng.



	“Dù tôi có về chót đến đâu, tôi cũng không biết cho đến khi tôi thử. Ai biết được rằng nếu tôi thực sự thử, mọi thứ sẽ diễn ra tốt đẹp đến bất ngờ?”



	“Haha, đúng rồi, rất giống anh.”



	Tess chưa bao giờ thấy Lian lo lắng như vậy. Thật lạ khi thấy Lian, học sinh tệ nhất, lại bình tĩnh trước một bài kiểm tra có thể dẫn đến mất một chi.



	'Ừ, hồi đó cũng thế thôi.'



	Trong thời gian đào tạo, Tess đã gặp Ryan.



	Thanh tra viên tự nhiên thích đánh nhau. Với 300 người tụ tập, bầu không khí căng thẳng ngay từ ngày đầu tiên. Các huấn luyện viên không thực sự can thiệp vào công việc bên trong doanh trại. Đúng như dự đoán, một số con sói đã nhe răng.



	Việc xếp hạng được thực hiện ngay lập tức.



	Những người đã thành thạo sơ đồ là nhóm 1, những người có khả năng thể chất mạnh mẽ là nhóm 2, và những người không ở đây cũng không ở đó là nhóm 3. Vấn đề là những học viên thậm chí còn không lọt vào nhóm 3. Họ là những cậu bé không có hứng thú với kiếm thuật nhưng lại bị cha mẹ thúc đẩy.



	Richard Feiger, thủ lĩnh của Nhóm 1, liên tục quấy rối những cậu bé này. Chúng vốn hung dữ bẩm sinh, và giờ đây khi đã vào học viện quân sự hợp pháp dạy chúng cách giết người, chúng trở nên mất kiểm soát.



	Tess không quan tâm. Về mặt kỹ năng, khoảng mười phụ nữ trong Nhóm 1 hoặc các học viên được miễn cuộc thi xếp hạng.



	Vào thời điểm đó, cấp bậc của Lian nằm ở giữa Nhóm 2.



	Mặc dù không ở trong hoàn cảnh dễ bị bắt nạt, Lian không hòa hợp với bất kỳ ai. Chỉ có một lý do duy nhất khiến anh nộp đơn vào trường kiếm thuật. Tốt nghiệp không quan trọng. Anh chỉ nghĩ rằng mình phải bằng cách nào đó nâng cao kỹ năng của mình và trở thành một kiếm sĩ xứng đáng với Shirone.



	“Poohahaha! Này, chạy đi! Nhanh hơn nữa!”



	"Heeheeheung! Heeheeheung!"



	Một ngày nọ, trong doanh trại, một nhóm học viên cưỡi trên lưng những đứa trẻ yếu hơn và đua xe, mỗi lần họ phấn khích đánh vào mông những cậu bé đóng vai ngựa bằng dùi cui, những con ngựa lại hí lên.



	Một số học viên cau mày, nhưng phần lớn đều nhiệt tình cổ vũ như thể họ đang xem một cuộc đua ngựa thực sự. Đây là một cuộc đua có tiền thật, ngay cả khi tiền cược nhỏ. Hơn nữa, nếu họ tỏ ra không thích, họ có thể trở thành những người bò dưới họ.



	“Nhanh hơn nữa! Chúng ta thắng! Chúng ta thắng!”



	Người dẫn đầu, Piger, đã rất phấn khích. Đúng như mong đợi của một người không bao giờ chấp nhận thất bại trong bất cứ điều gì, anh ấy đã làm hết sức mình ngay cả trong một cuộc đua chỉ để vui. Ngay khi vạch đích xuất hiện, cú đánh của anh ấy trở nên mạnh mẽ hơn. Học viên đã trở thành ngựa đua phải bò với đôi mắt đẫm lệ cho đến khi đầu gối chảy máu.



	“He he he! He he he!”



	“Yay! Tôi là số một……!”



	Ngay khi anh sắp vượt qua vạch đích, một hình ảnh mờ nhạt xuất hiện trong mắt Piger. Sau đó, một cú va chạm mạnh đập vào sống mũi anh.



	“Ối!”



	Con chim bồ câu bị đá mà không báo trước đã rơi khỏi lưng ngựa. Trong khi đó, những người chạy theo sau nó lần lượt về đích.



	“Bình tĩnh nào. Đây có phải sân chơi của anh không?”



	Con chim bồ câu ôm chiếc mũi đang phập phồng của mình và trừng mắt nhìn cậu bé tóc xanh.



	“Đồ nhóc con……!”



	Ozent Liên.



	Theo như Piger biết, anh ta chỉ ở mức trung bình ngay cả trong Nhóm 2. Anh ta cảm thấy lòng tự trọng của mình bị tổn thương khi nhận ra rằng mình đã bị đánh bại bởi một người thậm chí còn chưa học được lược đồ.



	“Cái gì, ngươi? Ngươi muốn chết sao?”



	Liên không trả lời, tính cách trầm mặc của hắn sau khi vào kiếm phái vẫn không thay đổi, nếu không có gì để nói, hắn cũng sẽ không bịa ra chuyện gì.



	“Nhìn đứa trẻ này kìa…….”



	Pigue đứng dậy, thể hiện ý chí sống của mình. Tình hình rất căng thẳng, nhưng không một học viên nào có thể tiến lên vì quá sợ hãi.



	Tất nhiên, có một số người không cảm thấy cần phải làm như vậy. Tess là một trong số đó.



	Đây là một trường dạy kiếm thuật. Trong một nhóm được cho là để dạy các kỹ thuật chiến tranh, không có gì thay đổi nếu bạn đứng lên bảo vệ kẻ yếu. Cuối cùng, tình hình sẽ được giải quyết theo thứ bậc quyền lực.



	“Này, là Liên đây! Rốt cuộc là anh gây ra tai nạn.”



	Tess quay lại nhìn. Một cô gái, một nữ sinh khác giống cô nhưng cao hơn đám đàn ông một cái đầu, đang đứng đó như một bức tường.



	“Anh có biết tên đứa trẻ đó không? Trông nó không khỏe lắm.”



	“Yếu đuối. Nhưng bướng bỉnh. Lần trước, bọn trẻ nhóm 2 tụ tập lại và quyên góp tiền. Đó là sinh nhật của Piger. Nhưng người duy nhất không trả tiền là Lian.”



	“A ha, vậy ra đó là lý do tại sao nó bị chụp?”



	"Tôi đoán là anh đang chờ đợi điều đó. Nhưng thành thật mà nói, tôi đã rất ngạc nhiên. Tôi nghĩ anh là người trầm tính, nhưng anh lại dễ nổi nóng một cách đáng ngạc nhiên."



	“Ừm…….”



	Lúc này Tess mới nhìn kỹ Lian, cô vẫn ngậm miệng, nhưng dường như không có ý định lùi bước.



	'Cũng có một đứa trẻ như thế. Vương quốc này thực sự rộng lớn.'



	Nguồn cảm hứng kết thúc ở đó. Cô đã lớn lên khi chứng kiến nhiều kẻ lập dị từ khi còn nhỏ, chịu ảnh hưởng từ cha cô, người chỉ huy vùng lãnh thổ bị chiếm đóng.



	Cho dù bạn có niềm tin lớn đến đâu, nếu thanh kiếm của bạn không đủ mạnh, nó sẽ gãy. Đây là quy tắc sắt đá của thế giới này.



	“Kekekeke. Đứa trẻ này câm rồi sao? Đã quá muộn để hối hận rồi. Ngươi không ngờ rằng sau khi làm chuyện như vậy, nó vẫn ổn, đúng không?”



	“Chúng ta ra ngoài đi, nếu để giáo viên phát hiện, sẽ không có lợi cho việc đánh giá của chúng ta.”



	Piger chết lặng. Anh chàng đáng lẽ phải cầu xin tha mạng ngay lập tức lại cố gắng chiến đấu trong khi tránh ánh mắt của người hướng dẫn.



	“Được, ta sẽ làm theo ý ngươi. Đi theo ta. Những người khác, đi theo ta. Ta sẽ cho ngươi biết chính xác điều gì sẽ xảy ra nếu ngươi tấn công ta.”



	Piger dẫn Lian đến bãi đất trống phía sau tòa nhà. Nhóm 1 đến 3 ở phía sau Piger, và những người duy nhất đứng về phía Lian là những đứa trẻ bên ngoài nhóm.



	Nhưng bọn họ đã mất đi ý chí chiến đấu. Không, bọn họ ngay từ đầu đã không phải là muốn chiến đấu mà đến đây. Bọn họ chỉ là không thuộc về nhóm Piger. Trong lòng bọn họ oán hận Liên vì đã khiến mọi chuyện trở nên tệ hơn.



	“Này, nếu không muốn bị đánh thì lại đây.”



	Pieger đưa ra sự khoan hồng. Các học viên thậm chí không nghĩ đến điều đó. Họ đi qua Lian và chạy sang phía bên kia.



	"Poohahaha! Đồ đáng thương. Này, Lian. Bây giờ mày định làm gì? Mọi người đều chạy hết rồi, chỉ còn lại một mình mày thôi."



	“Dựa vào số liệu? Ngay từ đầu anh đã là kẻ ngốc rồi.”



	“Có chuyện gì vậy?”



	"Nếu như ngươi không có lựa chọn nào khác ngoài chiến đấu, như vậy chiến đấu chính là điều tạo nên một kỵ sĩ. Một người như ngươi thậm chí còn không xứng đáng để trở thành một kỵ sĩ."



	Piger khịt mũi. Dù sao thì khi chiến tranh nổ ra, các hiệp sĩ sẽ cắn xé nhau như chó. Tinh thần hiệp sĩ chẳng qua chỉ là một tờ giấy gói để những kẻ sống sót tự tôn vinh mình.



	“Được rồi, xem xem nắm đấm của ngươi có mạnh bằng miệng ngươi không, ta tự mình xử lý ngươi, ngươi tốt nhất đừng tự mãn, nếu ngươi nói muốn một mình ra tay, vậy thì ta sẽ giết ngươi.”



	Lian giơ nắm đấm lên và vào tư thế chiến đấu, trong khi Piger bước tới như thể đang đi dạo.



	“Tôi sẽ đánh anh một lần. Đánh tôi trước.”



	Khi Piger búng tay, Lian tung ra một cú đấm. Vào lúc đó, Piger tránh được đòn tấn công và đánh vào bụng Lian.



	“Ồ!”



	Mắt Lian mở to vì cơn đau khi bụng cô bị xé toạc. Cảm giác như có một tảng đá nặng đập vào bụng cô. Đây có phải là một nắm đấm được gia cố bằng sơ đồ không?



	“Đồ ngốc. Tại sao tôi lại bị đánh?”



	Thật bất ngờ khi anh ta không thể kết liễu Lian chỉ bằng một đòn, mặc dù anh ta đang chế giễu cô. Anh ta quá bất cẩn. Với suy nghĩ đó trong đầu, anh ta đã tung ra một loạt đòn tấn công bằng tất cả sức mạnh của mình lần này.



	Lian sắp đỏ mặt rồi. Mặc dù là đánh tay không, nhưng bản thân lược đồ này lại là vũ khí chí mạng. Giống như bị một tên lính mặc giáp nặng đánh vậy.



	Khi nắm đấm của Pieger đập vào bụng Lian, chân của anh ta nhấc lên khỏi mặt đất.



	Khi anh ta tiếp đất lần nữa, ngay cả Lian có thân hình cường tráng cũng không thể đứng vững. Cơ thể Lian cong xuống từ đầu gối, ngã xuống đất.



	'Vậy thì đúng rồi... ... .'



	Piger cười khẩy với Liên. Đúng lúc này, Liên lao ra như một mũi tên và lao vào vòng tay anh.



	'Cái gì? Anh vẫn còn cố gắng sao?'



	Piger bối rối, Lian không nắm vững sơ đồ, anh cũng có thể biết nó đã đi vào đúng cách thông qua cảm giác nắm đấm của mình. Nếu anh không phòng thủ bằng sơ đồ, anh hẳn đã mất ý thức rồi.



	Lian tập trung tấn công vào bụng của Pigar. Nếu anh ta nhắm vào mặt, anh ta có thể dễ dàng né tránh. Tuy nhiên, nếu anh ta chặn tầm nhìn của đối phương bằng lưng rộng và tấn công từ phía dưới, ngay cả Pigar cũng không thể phản công một cách thiếu suy nghĩ.



	Cuộc phẫu thuật rất quan trọng và Piger liên tục lùi lại. Bụng anh đau nhói sau mỗi cú đấm.



	'Cái quái gì thế, thằng nhóc này?'



	Theo quan điểm của Pyger, chiến thắng là vấn đề lợi ích cá nhân. Thật đáng xấu hổ khi tham gia vào một cuộc hỗn chiến với một người thậm chí không thể xử lý một sơ đồ.



	"Thằng chó đẻ này!"



	Piger mất hết lý trí. Anh ta nắm lấy vai Lian và đẩy cô ra, sau đó vung nắm đấm điên cuồng. Một tiếng động trầm đục vang vọng khắp không gian trống rỗng. Các học viên nhìn cảnh đánh đập một bên với khuôn mặt tái nhợt.



	Khi Piger tỉnh lại, Lian nằm đó, co rúm lại như giẻ rách. Nhưng cô vẫn chưa ngất đi. Khi ngón tay Lian giật giật, ngọn lửa bùng cháy trong mắt Piger.



	“Ghê quá! Thật là khó chịu!”



	Cú đá của Piger đã đánh trúng Lian. Những đứa trẻ của Nhóm 1, những người cuối cùng cũng nhận ra sự nghiêm trọng của tình hình, đã chạy đến.



	"Này, dừng lại đi! Nếu cứ tiếp tục như vậy, anh sẽ chết thật đấy!"



	“Buông ra! Tao giết mày! Chết đi, đồ khốn nạn!”



	Phản ứng của Lian dần trở nên chậm chạp, cuối cùng dừng lại. Piger nhìn quanh, nhìn thấy vẻ sợ hãi trên khuôn mặt của các học viên, anh ta dường như đã giải tỏa được một chút cơn tức giận.



	“Nghe cho rõ đây! Đây là điều sẽ xảy ra nếu mày gây sự với tao! Này, lấy sợi dây thừng!”



	Lian bị lột sạch chỉ còn lại quần. Cơ thể cơ bắp của cô đầy vết bầm tím. Lúc này, Piger nghĩ đã đến lúc phải làm gương và ra lệnh trói Lian bằng dây thừng và treo lên cây cao.



	Máu chảy ra từ khuôn mặt cong queo như con tôm của Lian.



	“Poohahahaha! Ngươi chỉ là một con sâu treo trên cần câu thôi. Tại sao ngươi lại bắt nạt ta khi ngươi thậm chí còn không biết chủ đề này?”



	“Hahaha. À, thật ngại quá. Tôi cứ tỏ ra mình là người hiểu biết, nhưng giờ thì bị phát hiện rồi.”



	Những lời bình luận lố bịch xuất hiện từ khắp mọi phía, như thể một cuộc chiến đã kết thúc.



	Tess cau mày. Cho dù một người có yếu đuối đến đâu, việc gây ra nỗi xấu hổ như vậy cho người khác cũng thật nực cười.



	Hơn nữa, nơi này còn có những cô gái cùng tuổi khác, Lian hiện tại đang nghĩ gì? Không, trái tim cô ấy đã bị tổn thương đến mức nào?



	"ghê quá…."



	Lian tỉnh lại. Anh ấy không bất tỉnh, nhưng cũng không hoàn toàn ổn. Rất nhiều học viên đang cười khúc khích. Giống như họ đang xem khỉ ở sở thú vậy.



	Tess nhìn vào mắt Ryan. Cô cố gắng giữ vẻ mặt bình tĩnh. Trong tình trạng hiện tại của anh, ngay cả sự thông cảm cũng sẽ gây tổn thương. Nhưng Ryan đã phá vỡ kỳ vọng của cô và mỉm cười, nháy mắt.



	“Ồ, tôi xin lỗi về chuyện đó. Ở đây cũng có phụ nữ.”



	Tess vẫn giữ vẻ mặt thờ ơ, nhưng một phản ứng hóa học kỳ lạ đang diễn ra bên trong cô.



	“Poohaha! Anh đang nói gì thế? Anh vẫn đang nói dối trong tình huống này. Anh chỉ là một thằng ngốc, đúng không?”



	"Này! Nói thật đi. Anh nghĩ anh sẽ trông đẹp trai nếu anh tỏ ra thông minh sau khi bị đánh chết sao? Anh thực sự buồn cười lúc này."



	“Anh là kẻ thất bại sao? Anh là kẻ thất bại sao? Làm sao anh có thể trông như thế trước mặt phụ nữ? Tôi thà cắn lưỡi và chết còn hơn.”



	Lian nhìn xuống các học viên. Mặc dù có rất nhiều lời chế giễu, ánh mắt của anh vẫn bình tĩnh.



	“Không sao đâu. Dù có đau đi nữa.”



	“Puhahaha! Ờ thì, mấy thằng như mày phải sống như thế suốt đời. Hay mày là đồ biến thái? Mày đang âm thầm tận hưởng bản thân mình lúc này à?”



	Lian nói một cách bình tĩnh.



	“Bạn sẽ sớm quên nó thôi.”



	Sự im lặng bao trùm. Một bầu không khí bất an, lạ lẫm bao trùm sự im lặng.



	“Ta đã dốc toàn lực chiến đấu, cho nên không có gì phải hổ thẹn. Theo thời gian trôi qua, ngươi thậm chí có thể không nhận ra có một ngày như hôm nay. Nhưng ngươi biết không… ngươi thật sự có thể quên sao?”



	Không có câu trả lời. Tim của tất cả mọi người đều đập nhanh.



	"Hình ảnh các người bỏ cuộc mà không cần chiến đấu có lẽ sẽ ám ảnh các người suốt quãng đời còn lại. Và các người sẽ hối hận. Giá như các người chiến đấu trở lại, giá như các người đứng lên lúc đó. Nhưng các người biết điều đó, đúng không? Các người không thể quay ngược thời gian."



	Khuôn mặt của các học viên run rẩy. Đó là một nỗi sợ khác với sự hung bạo của Piger.



	=======================================





Số 115





	“Mất mát bao nhiêu tùy thích cũng được. Sự xấu hổ mà bạn phải chịu đựng vì giữ vững niềm tin của mình có thể nhanh chóng bị lãng quên. Tuy nhiên, ký ức về việc chạy trốn trong sợ hãi sẽ theo bạn suốt quãng đời còn lại. Bạn sẽ đau đớn khi ăn, ngủ hoặc trên chiến trường. Đó là lý do tại sao niềm tin của công tố viên giống như chính cuộc sống. Một khi đã tan vỡ, sẽ không có đường quay lại.”



	Không ai chế nhạo Lian nữa.



	“Không ai muốn có ký ức về sự hèn nhát. Nhất là các công tố viên. Có lẽ sẽ đến một ngày khi hồi tưởng về ngày hôm nay sẽ khó chịu hơn cả cái chết. Vậy nên hãy kết thúc ở đây. Nếu bạn muốn tự tin vào tương lai, ngay bây giờ, tại thời điểm này, tại nơi này…….”



	Lian hét lên và khạc ra máu.



	“Chiến đi, đồ ngốc!”



	Tiếng hét của Lian xuyên thấu trái tim của các học viên. Máu của họ sôi lên. Kỹ năng của họ khác nhau, nhưng mong muốn được gọi là Bóng ma của chiến trường, Kiếm sĩ mạnh nhất và Hiệp sĩ thép thì giống nhau.



	Tinh thần chiến đấu của hàng trăm người cùng sôi sục truyền đến da tôi. Không khí ngày càng nóng hơn. Ánh mắt nhìn lính cứu hỏa không còn sợ hãi như trước nữa.



	Nhóm 1, bao gồm cả Piger, cảm thấy khủng hoảng và mỗi người đều thể hiện ý định giết chóc của riêng mình.



	“Im lặng đi! Không ai nghe lời kẻ thua cuộc cả! Muốn đánh ngã tôi à? Vậy thì đến đây đi. Tôi sẽ khiến anh giống như gã đang treo cổ kia!”



	Tess mỉm cười và chạm vào môi mình.



	“Ừm.”



	Ozent Liên.



	Một ứng viên xin vào trường dạy kiếm thuật.



	"Được rồi."



	Tess đá chân xuống đất và bay lên. Khi cô nhảy qua người lính cứu hỏa và thả sợi dây thừng, Lian ngã xuống với một tiếng động lớn, ngồi xếp bằng, cơ thể quằn quại vì đau đớn.



	"Anh nói Lian à? Tôi là Tess. Chúng ta cùng chiến đấu nhé."



	Tess đề nghị bắt tay, nhưng Ryan chỉ nhìn chằm chằm. Cô bị trói bằng dây thừng và không thể di chuyển.



	Sự xuất hiện của Tess đã gây được tiếng vang với trẻ em. Mặc dù cô là thành viên của một nhóm nữ, nhưng kỹ năng của cô trong quá trình đào tạo được coi là ngang bằng với Piger.



	“Tôi cũng sẽ chiến đấu! Tôi không thể chịu đựng được như thế này!”



	“Phụ nữ đang tiến lên, vì vậy đàn ông không thể chỉ ngồi yên và không làm gì cả!”



	Mọi người bắt đầu đứng về phía Lian. Cuối cùng, tất cả các học viên ngoại trừ Nhóm 1 đều tụ tập lại và hét lớn.



	“Hãy cho chúng thấy một ví dụ! Hãy đuổi những đứa vô lại đó ra khỏi trường!”



	“Đuổi chúng ra ngoài! Đuổi chúng ra ngoài!”



	Pigers bị gần 300 đứa trẻ bao vây, bất kể bọn họ dùng bao nhiêu lược đồ để tăng cường sức mạnh, cũng không thể đối phó với số lượng lớn này.



	“Bọn trẻ này! Tôi thực sự muốn chết!”



	“Nếu mày giết được tao thì giết tao đi, đồ khốn nạn!”



	Ở Nhóm 2, cậu bé có sức mạnh nhất đã ra tay trước. Ngay khi Piger, với hàm răng cong lại, trừng mắt nhìn cậu bé, hàng chục người đàn ông đã lao vào và ném cậu bé xuống đất.



	“Này, đợi đã! Dừng lại đi!”



	Mặc dù Piger, người đã đối mặt với thực tế, đã hét lên, cơn giận của bọn trẻ vẫn không dễ dàng lắng xuống.



	Ở đây và đó, các học viên của Nhóm 1 cũng bị đối xử như vậy. Ngay cả những cậu bé bên ngoài nhóm cũng bước lên và đánh họ.



	“Này, cứu tôi với! Thầy ơi! Thầy ơi!”



	Tess quay lại nhìn Lian, người đang nhìn chằm chằm vào chiến trường, và mỉm cười.



	“Hehe, tôi xin lỗi về chuyện này. Giống như tôi vừa mới cắm nĩa vào đồ ăn của người khác vậy.”



	“Được rồi. Tôi ghét phải đóng vai anh hùng. Đó là lý do tại sao tôi cố ý gọi anh đến đây.”



