Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.



	Họ nói rằng họ là người yêu, nhưng nếu bạn lắng nghe cuộc trò chuyện của họ, điều đó hoàn toàn không đúng.



	Khi những người yêu nhau ở bên nhau, một cảm giác thân mật đặc biệt chắc chắn sẽ xuất hiện. Tuy nhiên, cảm giác đặc biệt đó không có ở Shirone và Amy.



	Vậy mà anh ta vẫn hành động như một người tình giả tạo suốt một năm trời.



	Trừ khi bạn là người đi trên dây về mặt cảm xúc, nếu không thì thường sẽ dẫn đến một trong hai điều sau: hoặc là chia tay hoặc là gắn bó lại với nhau.



	Reina đã chứng kiến vô số trường hợp như thế này, khi thời gian trôi qua và mọi người vẫn chỉ là bạn bè.



	Cuối cùng, theo quan điểm của cô, hai người không hề có mối quan hệ nào cả.



	Tất nhiên, rõ ràng là mọi chuyện có thể trở nên căng thẳng bất cứ lúc nào nếu họ bị cuốn vào ngọn lửa, nhưng xét theo tính cách của họ, khả năng điều đó xảy ra là cực kỳ thấp.



	Miệng tôi giật giật vì bực bội, nhưng khi nghĩ đến việc chúng thực sự trở thành sự thật, tôi lại tức giận đến nỗi mọi ý định muốn giúp đỡ đều biến mất.



	Reina nhận ra rằng đây cũng là một dạng ghen tị, nhưng cô đã lên kế hoạch hoãn lại suy nghĩ đó, nghĩ rằng nếu không có sự cạnh tranh thì không cần phải lo lắng.



	'Haha, giờ nghĩ lại thì tôi cũng không còn tư cách để nói về người khác nữa.'



	Reina kiểm tra thời gian và nói với Shirone.



	“Vậy thì đi thôi. Chúng ta phải nhanh chóng rời đi nếu muốn đón cha mẹ.”



	Amy can thiệp.



	“Chờ một lát. Để tôi nói chuyện với Shirone.”



	“Hả? Xuống làm đi. Dù sao thì cũng phải mất thời gian để sửa xe ngựa.”



	Tôi biết tình hình không dễ dàng, nhưng Amy có câu trả lời mà cô ấy nhất định phải nghe từ Shirone.



	“Chỉ mất một lát thôi.”



	Amy yêu cầu một lúc, Reyna chớp mắt và nói rằng cô không thể làm được.



	“Vậy thì tôi xuống trước chuẩn bị. Shirone, nói xong thì xuống.”



	Khi Reina rời đi, Nade và Iruki cúi chào lịch sự.



	Tôi không biết cô ta đã làm trò đồi bại gì, nhưng có vẻ như ba chàng lính ngự lâm ngốc nghếch kia đã phải lòng cô ta mất rồi.



	Amy đáp lại bằng một tiếng khịt mũi và đuổi mọi người ra ngoài trừ Shirone.



	Shirone xếp quần áo vào ba lô rồi quay lại, vắt một trong những dây đeo ba lô lên vai.



	“Tôi sẽ sớm quay lại thôi, Amy. Học hành cho kỳ thi nhé.”



	Amy đi thẳng vào vấn đề chính.



	"Tôi nghĩ có điều gì đó không ổn. Anh biết điều đó mà."



	Shirone mỉm cười cay đắng.



	“Đúng vậy, nhưng… tôi không muốn nghĩ đến chuyện đó. Nếu họ thực sự là cha mẹ ruột của tôi, tôi cảm thấy mình không nên nghĩ đến chuyện đó.”



	Tôi cũng hiểu cảm xúc của Shirone. Mọi người đều tập trung vào hoàng tử đầu tiên của Vương quốc Kazura, nhưng với anh ấy, đó là hành trình gặp gỡ dòng máu của mình.



	Kể cả khi họ là cha mẹ thực sự, thì đó vẫn là một vấn đề. Họ đã bỏ rơi đứa con của mình. Điều đó để lại một vết thương không thể chữa lành trong trái tim Shirone.



	“Bạn có chắc là mình ổn không?”



	“Tôi không biết. Hiện tại thì không có gì. Tôi sẽ tìm hiểu khi tôi đi xem tôi nghĩ gì. Nhưng tôi không muốn đưa ra bất kỳ phán đoán nào ngay bây giờ.”



	Sự buồn bã và lo lắng cùng lúc hiện lên trên khuôn mặt Shirone. Amy, người vẫn lặng lẽ theo dõi, lấy hết can đảm và lên tiếng.



	“Tôi có nên đi cùng anh không?”



	“Hả? Anh đang nói gì thế?”



	“Sẽ hữu ích hơn nhiều nếu tôi đi cùng anh. Dù sao thì cũng không còn lớp học nào nữa.”



	Trong lòng Shirone cảm động, nhưng cô nhanh chóng lắc đầu. Cô không thể lấy lòng tham của mình để cướp đi thời khắc quan trọng nhất trong cuộc đời Amy.



	“Không sao đâu. Tôi có chị Reina mà.”



	Shirone cảm nhận được sự lạnh lẽo trong mắt Amy, khẽ rùng mình. May mắn thay, cảm giác đó nhanh chóng biến mất, nhưng trong lời nói của cô lại có một sự châm chích khó hiểu.



	“Được rồi, tôi hiểu rồi. Chúng ta đi thôi. Tôi sẽ đợi chị Reina.”



	Amy rời khỏi phòng mà không ngoảnh lại. Shirone vẫn còn bối rối, nhưng anh quá buồn phiền về tình hình của mình để có thời gian nhìn sâu vào tâm trí cô.



	Bên ngoài ký túc xá, Reina đang cầm một tập tài liệu và kiểm tra từng hành lý trong xe ngựa.



	Shirone tạm biệt bạn bè khi họ tiễn cô đi. Đó là chuyến đi kéo dài nhiều nhất là mười ngày, nhưng không hiểu sao, nó lại giống như lần cuối cùng.



	Naid nói.



	“Chúc ngươi đi vui vẻ. Khi nào ngươi lên làm vua, nhất định phải mua cho ta một chiếc bánh kem cỡ đặc biệt trong cửa hàng.”



	“Haha! Được thôi. Nhưng khi tôi trở về, đó sẽ là thời gian nghỉ phép.”



	Reina vui vẻ nhìn Shirone đang nói chuyện với bạn bè.



	Không chỉ Lian mà Shirone cũng đã thay đổi rất nhiều trong năm qua.



	Trên hết, việc đánh bại Dante, người giỏi nhất vương quốc, là niềm tự hào lớn lao của gia tộc Ozent.



	Ánh mắt của Liên không hề sai.



	Và cả đôi mắt của bạn nữa.



	Khi Reina nhìn Sirone với cảm xúc khao khát, Seriel trở thành hiện thân của sự tức giận và nắm chặt tay.



	“Shirone, tôi thực sự thất vọng. Vào những lúc như thế này, một người đàn ông cần phải vạch ra một ranh giới rõ ràng.”



	Seriel nhìn lại Amy như thể đang cầu xin sự đồng ý và tỏ ra ngạc nhiên.



	Amy, người nãy giờ vẫn không để ý đến chuyện đó, đang trừng mắt nhìn Reina.



	“Seriel, tôi sẽ quay lại.”



	Gương mặt của Seriel tái nhợt. Tất nhiên, đã có những cuộc nói chuyện về những điều như vậy, nhưng tôi không nghĩ rằng nó thực sự dẫn đến một quyết định.



	“Amy, thật sao?”



	Ánh mắt của Seriel nhanh chóng trở nên lo lắng.



	Kỳ thi tốt nghiệp sẽ diễn ra trong hai tuần nữa. Tôi không có thời gian để lo lắng về bất cứ điều gì khác.



	“Không sao đâu. Dù sao thì giờ học cũng tan rồi, sao con không nghỉ ngơi một chút và đi du lịch nước ngoài?”



	Seriel hiểu rõ hơn ai hết rằng điều này không đúng.



	Một mặt, tôi ghen tị với Amy, người đã có thể dốc hết sức mình trong tình huống này.



	Nếu bạn đã quyết định đi thì hãy tiễn họ đi bằng tất cả sức lực của mình. Đừng ngoảnh lại. Đừng để lại bất kỳ sự hối tiếc nào.



	Seriel nói và đẩy lưng Amy.



	“Đi thôi, chị đây cho phép.”



	Amy vội vàng nói thêm.



	“Không phải là tôi làm vậy vì lo cho Reina đâu! Tôi chỉ lo cho Shirone thôi……”



	“Hohoho! Hiểu rồi! Ai nói gì thế? Đi mà làm bẹp mũi tôi đi!”



	Amy bước đến cỗ xe ngựa trong khi Seriel cổ vũ cô.



	Sau đó, Shirone, người vừa chuẩn bị lên máy bay, quay lại và chào tạm biệt.



	"Amy, cố lên! Em phải vượt qua. Anh cũng sẽ làm tốt."



	“Anh vui lòng tránh sang một bên được không?”



	"Hả?"



	Shirone không hiểu. Sau đó Amy xua tay sang một bên như thể cô ấy đang khó chịu và nói.



	“Vicky. Phu nhân First, cô không biết sao?”



	Khi cô đẩy Shirone sang một bên và trèo lên xe ngựa, Reina tỏ vẻ bối rối. Mặc kệ, Amy cúi xuống và bước vào.



	“Xin chào. Hãy cẩn thận trên đường đi nhé.”



	“Ôi trời, anh đi đâu thế?”



	Reina, người đang dùng ma túy, giả vờ không biết mặc dù cô biết điều đó. Bởi vì dù sao thì cũng chẳng có gì thay đổi, nhưng cô không muốn thừa nhận tình huống này bằng chính miệng mình.



	“Vâng, tôi cảm thấy mình phải để cô ấy một mình. Tôi đoán mình sẽ phải tự mình chăm sóc cô ấy.”



	Shirone mở cửa xe ngựa và thò mặt vào.



	“Amy! Chuyện gì đã xảy ra vậy? Em thực sự định đi sao?”



	“Cho nên ta mới lên đây. Mau ngồi xuống đi. Không còn thời gian nữa đâu.”



	Bên trong Reina nóng như lò lửa.



	Amy của Karmis.



	Sau khi quan sát anh ấy vài ngày, tôi thấy anh ấy là người cẩn thận trong mọi việc, việc trêu anh ấy cũng vui, nhưng giờ tôi thấy anh ấy cũng nóng tính như Lian vậy.



	Tôi hối hận vì đã thắp một ngọn đuốc vô dụng, nhưng đã quá muộn.



	=======================================





Số 266





	“Anh thực sự đi sao? Em ổn lắm.”



	Shirone không thích việc Amy bị phân tâm bởi những thứ khác khi kỳ thi tốt nghiệp đang đến gần.



	Ngay cả khi bạn là ứng cử viên số một để tốt nghiệp, bạn không bao giờ biết điều gì có thể xảy ra trong cuộc thi. Nếu bạn bị loại, bạn phải chịu trách nhiệm.



	Tất nhiên, Amy sẽ không bao giờ nghĩ theo cách đó, nhưng với tư cách là người muốn cô ấy thành công, tôi cảm thấy mình phải nhắc nhở cô ấy.



	“Với anh thì quan trọng lắm. Cô Reina sẽ bận rộn lo liệu nghi lễ hoàng gia, nên cô ấy cần có người ở bên cạnh và hộ tống. Sao, anh không thích em đi sao?”



	Nếu Amy đi cùng, Shirone sẽ không thể yên tâm hơn được nữa.



	Giống như khi tôi đến Đảo Galliant, anh ấy thực sự là đồng minh về mặt năng lực.



	“Không, tất nhiên là tôi muốn, nhưng…….”



	“Được rồi. Đây là kết thúc. Tôi nợ anh một thứ, nên tôi phải trả lại ngay bây giờ.”



	Shirone không thể nhớ Amy nợ anh ta những gì, nhưng vô số thứ đang chạy qua đầu Amy.



	Chính Sirone là người đã cứu tôi khỏi vách đá trong cuộc tấn công của Arcane, và nếu không có anh ấy, tôi đã không thể trở về an toàn khi bị Cariel bắt giữ ở Thiên đường.



	Khi Amy vẫn ngoan cố giữ vững lập trường, Reina thở dài cam chịu và ra lệnh cho người đánh xe.



	“Đi thôi.”



	Đương nhiên, nếu gạt bỏ tình cảm của mình, việc Amy gia nhập hoàn toàn không phải là mất mát gì, có một người bạn bên cạnh Shirone giúp đỡ cô ấy thì tốt hơn nhiều. Tuy nhiên, không thể tránh khỏi việc cô ấy cảm thấy bị đẩy lùi ngay từ đầu.



	Reina tựa cằm vào cửa sổ và chu môi.



	Nụ cười của Amy dường như hiện rõ.





	@





	Chiếc xe ngựa đang hướng đến Mỏ Thorn nằm giữa dãy núi Origin, nơi có ngôi nhà của Sirone. Khi họ đang đi, Reina đã cho họ biết tổng quan về tình hình.



	Tormia, Kazura và Yakma từng là một quốc gia thống nhất. Tuy nhiên, khi quyền lực của giới quý tộc tăng lên, xung đột phe phái nổ ra, và cuối cùng họ tách ra, hình thành nên Liên minh Tam hùng hiện tại.



	“Theo một nghĩa nào đó, có thể gọi là một quốc gia mới. Kazura đã độc lập chưa đầy 100 năm. Đặc biệt, Cộng hòa Yakma không công nhận sự tách biệt của Kazura cho đến gần đây. Không có chiến tranh, nhưng nó gần như đã xảy ra. Đó là 18 năm trước. Tóm lại, khi nội bộ của Kazura trở nên bất ổn, hoàng tử đầu tiên, Shirone, đã bị đưa đến một nơi khác.”



	Ít nhất Shirone cũng cảm thấy an ủi đôi chút vì anh không bỏ rơi cô vì anh ghét cô. Đây là vấn đề về sự hưng thịnh và sụp đổ của vương quốc, nên chắc hẳn có một số phần không thể cứu vãn được.



	Tất nhiên, điều đó không có nghĩa là nỗi buồn đã biến mất. Chỉ là tôi đang cố gắng lờ đi những cảm xúc đang dâng trào vì tôi vẫn chưa chắc chắn về bất cứ điều gì.



	“Tôi cũng nghe nói rồi. Nghe nói sắp xảy ra nội chiến rồi. Yakma cũng đang chuẩn bị ra trận. Nhưng……”



	Amy nói ngắn gọn. Đó không phải là điều cô có thể nói trước mặt Shirone.



	Reina cũng vậy, nhưng với tư cách là người phụ trách hộ tống, đây là điều cô không thể tránh khỏi.



	“Đúng vậy, mọi cuộc nội chiến đều kết thúc khi Vua Orkamp IV của Kazura kết hôn với Hoàng hậu Teraze của Đế chế Kashan.”



	Shirone cũng biết đó là loại sự việc gì vì anh đã đọc sách lịch sử. Tuy nhiên, anh không biết rằng nó sẽ trở thành câu chuyện của riêng anh.



	Đế chế Kashan là thế lực hùng mạnh nhất trên lục địa, chiếm giữ một phần ba lãnh thổ của thế giới loài người.



	Ngoài ra, các hoàng đế của đế chế này đều là phụ nữ qua nhiều thế hệ.



	Người ta nói rằng Teraze, hoàng đế của Kashan, xinh đẹp đến nỗi bất kỳ người đàn ông nào cũng không thể không yêu cô.



	Mặt khác, ông cũng là một người đàn ông máu lạnh, không ngần ngại hy sinh bất cứ điều gì để giành chiến thắng.



	Chính người phụ nữ như vậy đã cầu hôn Orkamp, vua của Kazura.



	“Orkamp IV có lẽ cũng không thể giúp được gì. Đất nước đang trên bờ vực sụp đổ. Hơn nữa, nếu anh ta chấp nhận Teraze, anh ta sẽ có được một mối quan hệ tuyệt vời. Trên thực tế, sau khi kết hôn với Teraze, chính trị của Kazura nhanh chóng ổn định và tài chính của nó trở nên mạnh mẽ.”



	Đây là một sự kiện bất thường được mô tả chi tiết ngay cả trong sách lịch sử.



	Trên hết, Orkamp đã có vợ, và Teraze cũng là một phụ nữ đã có chồng.



	“Không phải là hiếm khi hoàng gia hoặc quý tộc có hôn nhân chính trị, nhưng trường hợp này là bất thường. Teraze, hay đúng hơn là những người cai trị Kashan, đã là phụ nữ trong nhiều thế hệ, và hôn nhân là chiến lược phổ biến nhất mà họ sử dụng để mở rộng quyền lực của mình. Ngoài Orkamp IV, Teraze đã có ba người chồng khác. Tất nhiên, tất cả họ đều là vua của đất nước họ. Teraze đã kết hôn với Orkamp và thỉnh thoảng đến thăm Kazra, mỗi lần đều sinh con, và hiện có một con trai và một con gái.”



	“Nữ hoàng đầu tiên của Kazura, Orkamp Eliza, không còn người con nào khác ngoài Shirone sao?”



	“Thật không may, không có. Teraze đã can thiệp ngay sau khi đứa trẻ sơ sinh được di tản đến một quốc gia xa lạ trong cuộc nội chiến. Chắc hẳn đã có một thỏa thuận rằng đứa trẻ không nên được sinh ra. Teraze muốn đứa con của mình thừa kế vương quốc.”



	Amy thở dài.



	Ngay cả đối với hoàng gia, việc sử dụng khả năng thụ thai, một khả năng độc đáo của con người, vào mục đích chính trị cũng là một điều đáng sợ.



	Kết quả là, dòng máu duy nhất của Nữ hoàng Kazura là Shirone. Và bên dưới bà, còn có những người anh chị em cùng cha khác mẹ khác sinh ra từ Teraze.



	Amy, người đã nghĩ xa đến vậy, đột nhiên nhận ra lý do khiến cô cảm thấy lo lắng trước khi khởi hành.



	“Đợi đã. Vậy thì, nếu Shirone trở thành hoàng tử đầu tiên của Kazura…….”



	Reina gật đầu với vẻ mặt nghiêm túc như thể đó chính là ý chính.



	“Đúng vậy, con cái của Teraze sẽ bị đẩy xuống hàng ngũ kế vị. Ngược lại, sức ảnh hưởng của Nữ hoàng Eliza sẽ ngày càng lớn mạnh. Sở dĩ sứ giả của một quốc gia đến học viện ma pháp và đưa ra thông báo lớn có lẽ không liên quan gì đến chuyện đó.”



	Amy cau mày.



	Nếu bạn nghĩ về điều đó, đã 10 năm trôi qua kể từ khi công việc nội bộ của Kazura trở nên ổn định. Do đó, vương quốc sẽ dễ dàng tìm thấy Shirone nếu họ nỗ lực một chút.



	Chỉ đến bây giờ người ta mới thấy rõ rằng có liên quan đến vấn đề chính trị trong việc tìm kiếm Shirone.



	Kể cả họ có là cha mẹ ruột của tôi đi chăng nữa… … tôi vẫn cảm thấy rất đau lòng khi họ không mời tôi chỉ vì họ muốn gặp Shirone.



	'Ôi trời, chuyện này có gì phức tạp thế? Tôi biết cấp trên đang nghĩ gì, nhưng tôi không hiểu nổi.'



	Terase trở thành thê thiếp của Orkamp, và Orkamp trở thành người hầu của Terase.



	Đó là một điều vô lý thậm chí không thể được mô tả trong cây phả hệ gia đình.



	Trong lúc mọi người còn đang chìm đắm trong suy nghĩ của riêng mình, cỗ xe ngựa chạy nhanh và sớm tiến vào mỏ gai.



	Trước đây, nơi đây từng là khu vực khai thác than, và vì các nhũ đá treo trong hang rất sắc nhọn nên nơi đây được gọi là Mỏ Gai, và cho đến nay vẫn giữ nguyên tên gọi như vậy.



	Bây giờ nó đã là một mỏ đóng cửa, nhưng nó vẫn có mùi lạ. Nhưng với Shirone, thứ anh nhớ nhất chính là mùi hương quê hương.



	Amy cũng hít thật sâu luồng không khí cay nồng, nhìn khuôn mặt cứng đờ của Shirone thư giãn đôi chút.



	Amy đến nhà Shirone và chỉnh lại tư thế trước khi bước ra khỏi xe ngựa.



	Đây là lần đầu tiên tôi đến nhà Shirone. Và vì tôi sắp gặp bố mẹ cô ấy nên tôi tự nhiên thận trọng.



	Tất nhiên là tôi sẽ không phạm sai lầm, nhưng tình hình thì có chút kỳ lạ.



	Vì bố mẹ của Shirone là thường dân nên tôi lo lắng không biết phải đối xử với họ thế nào.



	Nếu tôi quá lịch sự, họ có thể gặp khó khăn, nhưng nếu tôi làm mọi việc theo cách tôi thường làm, tôi có thể có vẻ kiêu ngạo.



	Không giống như Amy, người có suy nghĩ như vậy, Reina mở cửa và đi ra ngoài ngay khi cô đến nơi.



	Vincent và Olina đang đợi, sẵn sàng lên đường.



	Trong khi Deacon Temuran kiểm tra cỗ xe ngựa, Reina đưa Sirone đến gặp bố mẹ cô.



	“Xin chào. Dạo này bạn thế nào?”



	“Vâng, tất nhiên rồi. Nhờ có sự chăm sóc của anh, chúng tôi đang sống thoải mái.”



	Vincent và Olina chào nhau lịch sự nhất có thể.



	Reina không quan tâm và cứ làm theo lịch trình một cách tự nhiên.



	“Chúng ta sẽ đi xe ngựa và đi về phía bắc để vượt biên giới. Chúng ta có thể sẽ đến vào khoảng nửa đêm, vì vậy hãy kiên nhẫn với chúng tôi cho đến lúc đó. Từ đó, chúng ta sẽ được Vương quốc Kazura dẫn đường, vì vậy bạn sẽ không gặp bất tiện khi ở lại.”



	“Đừng lo cho chúng tôi. Chúng tôi xin lỗi vì đã gây rắc rối cho anh vì con trai chúng tôi.”



	Reina bật cười buồn bã. Nhìn vẻ mặt của Vincent và Olina, rõ ràng là họ không hề chợp mắt suốt đêm.



	Temuran hẳn đã giải thích điều này nhiều lần, nhưng có lẽ đó không phải là điều có thể cảm nhận được như hiện thực.



	Làm sao người ta có thể hiểu được tình huống một đứa trẻ bị bỏ rơi trong chuồng ngựa được nuôi dưỡng như con ruột trong suốt 18 năm, chỉ để rồi cha mẹ ruột của đứa trẻ đột nhiên xuất hiện?



	Họ cũng là vua và hoàng hậu của một quốc gia xa lạ.



	Thật tốt khi nghĩ đến Shirone, nhưng làm sao bạn có thể không cảm thấy buồn, vì họ cũng là con người?



	Hơn nữa, vì không thể kiện nhà vua ra tòa để đòi quyền làm cha nên ông không còn cách nào khác ngoài việc để cho đứa con của mình bị cướp mất.



	“Đừng lo lắng quá. Hiện tại vẫn chưa chắc chắn, cho dù xác nhận được cô ấy là cha mẹ ruột của anh ấy, Shirone cũng sẽ không dao động. Gia tộc Ozent cũng vậy.”



	Vincent xua tay ngượng ngùng sau khi cảm xúc thật của anh bị bộc lộ.



	“Đừng lo lắng! Không có gì đáng lo lắng cả. Đối với Shirone mà nói, đây thực sự là chuyện tốt. Nhưng mà, cảm ơn anh đã quan tâm.”



	Đúng lúc đó, giọng nói tự tin của Amy vang lên từ trong xe ngựa.



	"Xin chào!"



	Khuôn mặt Amy đỏ bừng khi mọi ánh mắt đổ dồn về phía cô. Cô ấy quá lo lắng sau khi thấy Reina và bố mẹ cô ấy nói chuyện đến nỗi cô ấy đã ngắt lời họ vào một thời điểm kỳ lạ.



	“Cô gái trẻ……?”



	Ánh mắt của Olina sáng lên thích thú. Đây là lần đầu tiên Shirone dẫn theo một cô gái cùng tuổi.



	Cô ấy thực sự là một cô gái xinh đẹp, có khuôn mặt xinh xắn và đôi mắt chân thành.



	“Ồ, vâng. Tôi tên là Carmis Amy, bạn của Shirone. Tôi sẽ đi cùng anh đến Kazura. Xin hãy chăm sóc tôi.”



	Amy cúi đầu mà không hề hay biết. Niềm tin rằng cô có thể giữ bình tĩnh trong mọi tình huống đã bị phá vỡ.



	Tất nhiên, đó chỉ là suy nghĩ của Amy thôi, còn Vincent và Olina thì mỉm cười vui vẻ và thì thầm rằng cô là một học sinh giỏi.



	Shirone vẫn không nói gì, thành thật mà nói, cô không biết nên làm vẻ mặt gì khi đối mặt với cha mẹ mình.



	Tôi có thể thẳng thừng từ chối việc được ai đó trong gia đình Ozent nhận nuôi, nhưng lần này lại là cha mẹ ruột của tôi.



	Hơn nữa, vì họ là hoàng tộc và không có quyền lựa chọn nên tôi cảm thấy như mình đang phạm tội với họ.



	Vincent, người đã đoán trước được cảm xúc của con trai mình, đã đến gần anh.



	“Shirone, em ổn chứ? Chắc em ngạc nhiên lắm.”



	“Con không sao. Bố ơi… Con xin lỗi.”



	“Ha ha! Có gì đáng tiếc chứ? Nếu như ngươi không phạm sai lầm khi vào cung thì tốt rồi. Ta học được rất nhiều từ Temuran, nhưng mà việc này vốn đã khó khăn rồi.”



	Shirone cố gắng mỉm cười.



	"Tôi cũng vậy. Nhưng đừng lo. Amy ở đây với anh, nên anh sẽ ổn thôi."



	Amy, cảm thấy đây là cơ hội của mình, chỉ ngón tay cái vào mình.



	“Tất nhiên rồi! Tôi sẽ xử lý, anh không cần phải lo lắng về chuyện đó.”



	Olina nói với một nụ cười.



	“Cảm ơn. Tôi nhớ tên anh rồi. Tôi nghe nói Shirone đang nhận được rất nhiều sự giúp đỡ.”



	Amy cảm thấy hơi tự hào. Khi sự căng thẳng dịu đi, đôi môi cứng đờ của cô cử động theo ý muốn.



	“Tôi cũng nhận được rất nhiều sự giúp đỡ từ Shirone. Xin hãy thoải mái nói chuyện với tôi từ bây giờ.”



	Reina vỗ tay để thu hút sự chú ý của mọi người.



	Thật tuyệt nếu có thể duy trì tâm trạng vui vẻ, nhưng bây giờ thực sự không còn thời gian để lãng phí nữa.



	Từ giờ trở đi tôi phải chạy thật chăm chỉ nếu muốn đến biên giới trước nửa đêm.



	“Được rồi, được rồi. Chúng ta đi thôi. Quản gia, xin hãy đợi trong dinh thự. Chuẩn bị di chuyển ngay khi Louis nhận được tin.”



	“Được rồi. Hãy cẩn thận nhé.”



	Chiếc xe ngựa chở Shirone và nhóm của cô khởi hành đến Kazura.





	@





	Đó là một cuộc hành quân bắt buộc.



	Sau hơn sáu giờ ngồi trên cỗ xe lắc lư, toàn thân bạn bắt đầu đau nhức. Với lịch trình chỉ cho phép bạn nghỉ ngơi năm phút sau một giờ đi xe, thậm chí không có thời gian để xoa dịu cơn đau lưng của bạn.



	Nhưng không ai phàn nàn.



	Khi chúng tôi đến gần biên giới, cơn đau dần biến mất và căng thẳng bắt đầu tăng lên.



	Đó là một cuộc phiêu lưu tuyệt vời đối với Shirone.



	Sau khi nghe về hoàn cảnh phức tạp của gia đình hoàng gia Kazura, đây không phải là tình huống mà người ta có thể cảm thấy thoải mái ngay cả khi nhóm hộ tống đang chờ đợi. Nếu Teraze đưa ra quyết định vội vàng, họ có thể sẽ cử một đội ám sát.



	=======================================





Số 267





	Shirone mở cửa sổ và nhìn xung quanh.



	Đó là một khu rừng sâu, và ánh sáng duy nhất chiếu sáng con đường phía trước là ngọn đuốc cắm trong chuồng ngựa. Bóng cây phi nước đại theo hướng ngược lại. Thật may mắn là trăng tròn đã mọc. Tuy nhiên, mây tụ lại từ đâu đó và che mất cả điều đó.



	Nỗi lo lắng của Shirone ngày càng sâu sắc hơn.



	Đến một lúc nào đó, cỗ xe bắt đầu di chuyển chậm lại rồi dừng lại.



	Tiếng vó ngựa vang vọng trong không khí tĩnh lặng của đêm.



	Chú rể mở cửa và thì thầm.



	“Quý cô Reina, chúng ta đã đến điểm hẹn rồi.”



	Reina quấn mình trong một chiếc áo choàng trùm đầu. Những người khác cũng bước ra khỏi xe ngựa, khuôn mặt họ được che phủ bởi mũ trùm đầu.



	Nơi họ đến là một vùng đất hoang rộng lớn với đường chân trời có thể nhìn thấy. Sirone vẽ một bản đồ trong đầu và tưởng tượng nó ở đâu đó trên Cao nguyên Bình minh phía bắc Tormia.



	Tôi chắc chắn cảm thấy nó rất kỹ lưỡng. Sẽ cực kỳ khó khăn để thực hiện một vụ ám sát ở một vùng đất hoang vu.



	Tất nhiên, nếu bạn quyết tâm, bạn có thể đào được đường hầm, nhưng nếu bạn cứ nghĩ về nó, nó sẽ không bao giờ kết thúc.



	Điểm hẹn cách nơi họ đến 300 mét và bóng dáng của đoàn hộ tống Vương quốc Kazura hiện rõ ở đằng xa.



	Louis, quản gia trưởng của gia đình Ozent, đã gửi một tín hiệu.



	Chỉ khi Reina trao đổi mật khẩu theo cách tương tự thì hai nhóm mới gặp nhau ở giữa chặng đường.



	Louis, người tiến lại gần, cầm ngọn đuốc, cúi đầu chào Sirone và nhóm của ông.



	“Chào mừng. Tôi đang đợi anh.”



	“Cảm ơn anh đã nỗ lực. Tôi nghe nói quá trình tuyển sinh đang diễn ra suôn sẻ.”



	“Vâng. Tôi không phát hiện ra bất kỳ chuyển động đặc biệt đáng lo ngại nào. Tuy nhiên, đây không phải là điều đáng để yên tâm. Xin hãy lên đường ngay bây giờ. Tôi sẽ giải thích khi chúng ta đi.”



	Shirone và nhóm của cô đi theo Louis. Chiếc xe ngựa lớn mà họ đã thấy ở Trường Phép thuật Alpheus đang đợi.



	Một người đàn ông tên Godin, đội trưởng đội hộ tống, tự giới thiệu.



	“Ta là Luzen Godin, người sẽ hộ tống ứng cử viên đầu tiên cho ngai vàng, Sirone. Ta biết ngươi đang lo lắng, nhưng không cần phải lo lắng. Ta đã thành lập một đội hộ tống gồm những người đàn ông quyền lực nhất trong vương quốc, vì vậy ngươi sẽ có thể đến cung điện một cách an toàn. Xin hãy lên tàu.”



	Một người lính cầm thanh kiếm bạc mở cửa xe ngựa.



	Shirone đã rất ngạc nhiên ngay cả trước khi bước vào. Bên trong xe ngựa sáng như ban ngày, nhờ quả cầu pha lê phát sáng gắn trên trần xe. Ngoài ra, trên xe còn được trang bị giường và thậm chí cả thiết bị tập yoga.



